post_id,title,category,score,num_comments,author,collected_at
47624645,Show HN: Apfel – The free AI already on your Mac,technology,453,95,franze,2026-04-03 21:42:28
47561426,What Category Theory Teaches Us About DataFrames,technology,110,33,mchav,2026-04-03 21:42:31
47579818,What we learned building 100 API integrations with OpenCode,technology,55,11,rguldener,2026-04-03 21:42:36
47625244,Critics say EU risks ceding control of its tech laws under U.S. pressure,technology,150,93,nickslaughter02,2026-04-03 21:42:37
47573728,Intel Assured Supply Chain Product Brief,technology,31,5,aw-engineer,2026-04-03 21:42:38
47618189,Tailscale's new macOS home,technology,523,269,tosh,2026-04-03 21:42:39
47562455,The True Shape of Io's Steeple Mountain,technology,94,2,carlosjobim,2026-04-03 21:42:44
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,327,163,sedev,2026-04-03 21:42:45
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,technology,22,9,tosh,2026-04-03 21:42:45
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,technology,111,6,01-_-,2026-04-03 21:42:50
47617376,OpenAI Acquires TBPN,technology,226,186,surprisetalk,2026-04-03 21:42:59
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,458,346,mooreds,2026-04-03 21:43:00
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,537,111,AbuAssar,2026-04-03 21:43:02
47620933,Memo: A language that remembers only the last 12 lines of code,technology,54,33,notem,2026-04-03 21:43:10
47623101,A Rave Review of Superpowers (For Claude Code),technology,38,22,emschwartz,2026-04-03 21:43:13
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,144,45,jackson-mcd,2026-04-03 21:43:25
47626347,F-15E Wreckage Photos Amid Iranian Claims It Shot Down an American Fighter,technology,23,12,uticus,2026-04-03 21:43:29
47611921,Significant raise of reports,technology,300,153,stratos123,2026-04-03 21:43:39
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",technology,14,6,arttaboi,2026-04-03 21:43:44
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,25,0,flakespancakes,2026-04-03 21:43:46
47615876,The case for zero-error horizons in trustworthy LLMs,technology,75,107,daigoba66,2026-04-03 21:43:52
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,82,30,ronfriedhaber,2026-04-03 21:43:52
47609694,Email obfuscation: What works in 2026?,technology,356,99,jaden,2026-04-03 21:44:01
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,567,195,pretext,2026-04-03 21:44:48
47625860,Ubuntu now has higher system hardware requirements than Windows 11,worldnews,13,4,bundie,2026-04-03 21:45:07
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,283,138,Growtika,2026-04-03 21:45:15
47618221,The Australian government has announced gambling advertising reforms,worldnews,126,94,gostsamo,2026-04-03 21:45:48
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,28,4,j0rg3,2026-04-03 21:45:52
47541746,Show HN: Forkrun – NUMA-aware shell parallelizer (50×–400× faster than parallel),worldnews,149,41,jkool702,2026-04-03 21:47:01
47577761,Fedware: Government apps that spy harder than the apps they ban,worldnews,680,278,speckx,2026-04-03 21:47:05
47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,worldnews,24,4,topherPedersen,2026-04-03 21:47:18
47578572,Turning a MacBook into a touchscreen with $1 of hardware (2018),worldnews,407,230,HughParry,2026-04-03 21:48:32
47617630,"Show HN: Mac-hardware toys, control your Mac's hardware like a modular synth",worldnews,5,1,nikisweeting,2026-04-03 21:48:37
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,9,2,mempko,2026-04-03 21:48:40
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,116,vrganj,2026-04-03 21:49:22
47625706,The War Against Misinformation Is Over. The Lies Won,worldnews,5,0,pseudolus,2026-04-03 21:49:28
47585008,"7,655 Ransomware Claims in One Year: Group, Sector, and Country Breakdown",worldnews,61,14,adulion,2026-04-03 21:49:51
47557299,Hardware Image Compression,worldnews,73,15,luu,2026-04-03 21:49:57
47620400,Iran attacks Oracle data center in Dubai,worldnews,12,5,topherPedersen,2026-04-03 21:50:05
47612035,UK Government unveils rules to end subscription traps,worldnews,25,6,_____k,2026-04-03 21:50:06
47606909,Cindy Cohn of the EFF Interviewed by Jon Stewart on the Daily Show [video],worldnews,35,1,latexr,2026-04-03 21:50:30
47540833,Hold on to Your Hardware,worldnews,661,533,LucidLynx,2026-04-03 21:51:12
47592113,"Jami – free/libre, end-to-end encrypted, and private communication software",worldnews,43,3,smartmic,2026-04-03 21:51:14
